dia,open,last,close,date,symbol,exchange,hora,weekday,high_max,low_min,volume_sum,spline
2020-06-01 00:00:00,321.775,321.85,321.775,2020-06-02 00:00:00,AAPL,IEXG,24:00:00,Monday,322.335,316.89,20562478.0,0
2020-06-02 00:00:00,323.39,323.39,323.39,2020-06-03 00:00:00,AAPL,IEXG,24:00:00,Tuesday,323.43,318.99,3014667.0,0
2020-06-03 00:00:00,325.03,325.03,325.03,2020-06-04 00:00:00,AAPL,IEXG,24:00:00,Wednesday,326.0,322.345,0.0,0
2020-06-04 00:00:00,322.32,322.32,322.32,2020-06-05 00:00:00,AAPL,IEXG,24:00:00,Thursday,325.58,320.81,29556399.0,0
2020-06-05 00:00:00,331.48,331.5,331.48,2020-06-06 00:00:00,AAPL,IEXG,24:00:00,Friday,331.7,322.32,42498240.0,0
2020-06-08 00:00:00,330.25,333.46,331.5,2020-06-09 00:00:00,AAPL,IEXG,24:00:00,Monday,333.6,327.32,30636520.0,0
2020-06-09 00:00:00,332.14,343.99,333.46,2020-06-10 00:00:00,AAPL,IEXG,24:00:00,Tuesday,345.61,332.01,48885922.0,0
2020-06-10 00:00:00,84.93557628800377,157.46068734791268,463.534213243233,2020-06-10 00:00:00,AAPL,IEXG,,,177.44203281750268,334.89078422896694,30997324.168291014,1
2020-06-11 00:00:00,336.05,336.05,336.05,2020-06-12 00:00:00,AAPL,IEXG,24:00:00,Thursday,350.95,335.67,0.0,0
2020-06-12 00:00:00,338.85,338.85,338.85,2020-06-13 00:00:00,AAPL,IEXG,24:00:00,Friday,347.67,334.48,0.0,0
2020-06-15 00:00:00,333.25,342.99,338.8,2020-06-16 00:00:00,AAPL,IEXG,24:00:00,Monday,345.68,332.58,47750130.0,0
2020-06-16 00:00:00,352.31,352.31,352.31,2020-06-17 00:00:00,AAPL,IEXG,24:00:00,Tuesday,353.075,345.56,113632.0,0
2020-06-17 00:00:00,355.15,351.59,352.08,2020-06-18 00:00:00,AAPL,IEXG,24:00:00,Wednesday,355.4,351.09,33832260.0,0
2020-06-18 00:00:00,351.41,351.73,351.59,2020-06-19 00:00:00,AAPL,IEXG,24:00:00,Thursday,353.45,349.22,31993200.0,0
2020-06-19 00:00:00,354.635,349.72,351.73,2020-06-20 00:00:00,AAPL,IEXG,24:00:00,Friday,356.56,345.15,74691126.0,0
2020-06-22 00:00:00,351.34,358.87,349.72,2020-06-23 00:00:00,AAPL,IEXG,24:00:00,Monday,359.46,351.15,40527928.0,0
